parent_id,student_id,free_text_tr,tone_hint
par_0001,stu_0001,Telefon bildirimleri dersi sürekli bölüyor.,anxious
par_0002,stu_0002,"Odaklandığını sanıyoruz, uygulamalar dikkatini dağıtıyor.",strict
par_0003,stu_0003,Yanlış yapmaktan korktuğu için başlamıyor.,supportive
par_0004,stu_0004,Blokları sonuna kadar getiremiyor.,supportive
par_0005,stu_0005,Yanlış yapmaktan korktuğu için başlamıyor.,supportive
par_0006,stu_0006,Yanlış yapmaktan korktuğu için başlamıyor.,anxious
par_0007,stu_0007,"Akşam dersi açıyor ama telefon elinden düşmüyor, sosyal medyada kayboluyor.",supportive
par_0008,stu_0008,Telefon bildirimleri dersi sürekli bölüyor.,supportive
par_0009,stu_0009,Telefon bildirimleri dersi sürekli bölüyor.,supportive
par_0010,stu_0010,"Odaklandığını sanıyoruz, uygulamalar dikkatini dağıtıyor.",strict
par_0011,stu_0011,"Dersi açıyor ama 15 dakikada bırakıyor, yarım kalıyor.",supportive
par_0012,stu_0012,Telefon bildirimleri dersi sürekli bölüyor.,supportive
par_0013,stu_0013,"Odaklandığını sanıyoruz, uygulamalar dikkatini dağıtıyor.",supportive
par_0014,stu_0014,"Akşam dersi açıyor ama telefon elinden düşmüyor, sosyal medyada kayboluyor.",supportive
par_0015,stu_0015,"Akşam dersi açıyor ama telefon elinden düşmüyor, sosyal medyada kayboluyor.",supportive
par_0016,stu_0016,Telefon bildirimleri dersi sürekli bölüyor.,anxious
par_0017,stu_0017,Blokları sonuna kadar getiremiyor.,supportive
par_0018,stu_0018,Yanlış yapmaktan korktuğu için başlamıyor.,supportive
par_0019,stu_0019,"Odaklandığını sanıyoruz, uygulamalar dikkatini dağıtıyor.",anxious
par_0020,stu_0020,"Odaklandığını sanıyoruz, uygulamalar dikkatini dağıtıyor.",strict
par_0021,stu_0021,"Uyku düzeni bozuldu, gece çalışıp sabah verimsiz oluyor.",anxious
par_0022,stu_0022,Telefon bildirimleri dersi sürekli bölüyor.,strict
par_0023,stu_0023,"Odaklandığını sanıyoruz, uygulamalar dikkatini dağıtıyor.",strict
par_0024,stu_0024,Başlamadan önce defalarca bahane buluyor.,supportive
