intent_id,parent_id,student_id,raw_text_tr,softened_text_tr
int_0001,par_0001,stu_0001,"Yine telefon, yine boş; böyle YKS kazanılmaz.",Bugün zor bir gün olabilir. Küçük bir adım yeterli: 15 dakika sadece ilk soru seti.
int_0002,par_0002,stu_0002,"Yine telefon, yine boş; böyle YKS kazanılmaz.","Dikkatin dağıldığını gördük. Sorun değil, şimdi toparlanabilirsin. 20 dakikalık tek bir soru bloğu yap; bitince kısa mola senin."
int_0003,par_0003,stu_0003,"Yine telefon, yine boş; böyle YKS kazanılmaz.",Bugün zor bir gün olabilir. Küçük bir adım yeterli: 15 dakika sadece ilk soru seti.
int_0004,par_0004,stu_0004,"Dersi yine böldü, çok kızgınım.","Dikkatin dağıldığını gördük. Sorun değil, şimdi toparlanabilirsin. 20 dakikalık tek bir soru bloğu yap; bitince kısa mola senin."
int_0005,par_0005,stu_0005,"Yine telefon, yine boş; böyle YKS kazanılmaz.",Bugün zor bir gün olabilir. Küçük bir adım yeterli: 15 dakika sadece ilk soru seti.
int_0006,par_0006,stu_0006,"Herkes çalışıyor, o hâlâ erteiyor.",Geceye bırakmak yorucu olabilir. Yarın gündüz 2 kısa blok planlayalım.
int_0007,par_0007,stu_0007,Saatlerdir masada ama hiçbir şey bitmemiş.,"Dikkatin dağıldığını gördük. Sorun değil, şimdi toparlanabilirsin. 20 dakikalık tek bir soru bloğu yap; bitince kısa mola senin."
int_0008,par_0008,stu_0008,Saatlerdir masada ama hiçbir şey bitmemiş.,"Yarım kalan bloğu birlikte kapatabiliriz. Zamanlayıcıyı 25 dakikaya kur, sadece bir konuya bak."
int_0009,par_0009,stu_0009,"Herkes çalışıyor, o hâlâ erteiyor.",Bugün zor bir gün olabilir. Küçük bir adım yeterli: 15 dakika sadece ilk soru seti.
int_0010,par_0010,stu_0010,"Yine telefon, yine boş; böyle YKS kazanılmaz.",Geceye bırakmak yorucu olabilir. Yarın gündüz 2 kısa blok planlayalım.
int_0011,par_0011,stu_0011,"Dersi yine böldü, çok kızgınım.",Geceye bırakmak yorucu olabilir. Yarın gündüz 2 kısa blok planlayalım.
int_0012,par_0012,stu_0012,"Dersi yine böldü, çok kızgınım.",Geceye bırakmak yorucu olabilir. Yarın gündüz 2 kısa blok planlayalım.
int_0013,par_0013,stu_0013,Saatlerdir masada ama hiçbir şey bitmemiş.,Geceye bırakmak yorucu olabilir. Yarın gündüz 2 kısa blok planlayalım.
int_0014,par_0014,stu_0014,"Herkes çalışıyor, o hâlâ erteiyor.",Bugün zor bir gün olabilir. Küçük bir adım yeterli: 15 dakika sadece ilk soru seti.
int_0015,par_0015,stu_0015,"Herkes çalışıyor, o hâlâ erteiyor.","Dikkatin dağıldığını gördük. Sorun değil, şimdi toparlanabilirsin. 20 dakikalık tek bir soru bloğu yap; bitince kısa mola senin."
int_0016,par_0016,stu_0016,Saatlerdir masada ama hiçbir şey bitmemiş.,Geceye bırakmak yorucu olabilir. Yarın gündüz 2 kısa blok planlayalım.
int_0017,par_0017,stu_0017,"Herkes çalışıyor, o hâlâ erteiyor.",Geceye bırakmak yorucu olabilir. Yarın gündüz 2 kısa blok planlayalım.
int_0018,par_0018,stu_0018,Saatlerdir masada ama hiçbir şey bitmemiş.,Bugün zor bir gün olabilir. Küçük bir adım yeterli: 15 dakika sadece ilk soru seti.
int_0019,par_0019,stu_0019,"Herkes çalışıyor, o hâlâ erteiyor.","Yarım kalan bloğu birlikte kapatabiliriz. Zamanlayıcıyı 25 dakikaya kur, sadece bir konuya bak."
int_0020,par_0020,stu_0020,"Herkes çalışıyor, o hâlâ erteiyor.",Bugün zor bir gün olabilir. Küçük bir adım yeterli: 15 dakika sadece ilk soru seti.
int_0021,par_0021,stu_0021,"Yine telefon, yine boş; böyle YKS kazanılmaz.",Geceye bırakmak yorucu olabilir. Yarın gündüz 2 kısa blok planlayalım.
int_0022,par_0022,stu_0022,"Dersi yine böldü, çok kızgınım.",Geceye bırakmak yorucu olabilir. Yarın gündüz 2 kısa blok planlayalım.
int_0023,par_0023,stu_0023,"Herkes çalışıyor, o hâlâ erteiyor.",Geceye bırakmak yorucu olabilir. Yarın gündüz 2 kısa blok planlayalım.
int_0024,par_0024,stu_0024,"Dersi yine böldü, çok kızgınım.",Bugün zor bir gün olabilir. Küçük bir adım yeterli: 15 dakika sadece ilk soru seti.
int_0025,par_0025,stu_0025,"Yine telefon, yine boş; böyle YKS kazanılmaz.","Dikkatin dağıldığını gördük. Sorun değil, şimdi toparlanabilirsin. 20 dakikalık tek bir soru bloğu yap; bitince kısa mola senin."
int_0026,par_0026,stu_0026,"Herkes çalışıyor, o hâlâ erteiyor.","Yarım kalan bloğu birlikte kapatabiliriz. Zamanlayıcıyı 25 dakikaya kur, sadece bir konuya bak."
int_0027,par_0027,stu_0027,"Yine telefon, yine boş; böyle YKS kazanılmaz.","Dikkatin dağıldığını gördük. Sorun değil, şimdi toparlanabilirsin. 20 dakikalık tek bir soru bloğu yap; bitince kısa mola senin."
int_0028,par_0028,stu_0028,Saatlerdir masada ama hiçbir şey bitmemiş.,Geceye bırakmak yorucu olabilir. Yarın gündüz 2 kısa blok planlayalım.
int_0029,par_0029,stu_0029,"Dersi yine böldü, çok kızgınım.",Bugün zor bir gün olabilir. Küçük bir adım yeterli: 15 dakika sadece ilk soru seti.
int_0030,par_0030,stu_0030,"Yine telefon, yine boş; böyle YKS kazanılmaz.","Dikkatin dağıldığını gördük. Sorun değil, şimdi toparlanabilirsin. 20 dakikalık tek bir soru bloğu yap; bitince kısa mola senin."
int_0031,par_0031,stu_0031,Saatlerdir masada ama hiçbir şey bitmemiş.,"Dikkatin dağıldığını gördük. Sorun değil, şimdi toparlanabilirsin. 20 dakikalık tek bir soru bloğu yap; bitince kısa mola senin."
int_0032,par_0032,stu_0032,"Dersi yine böldü, çok kızgınım.",Geceye bırakmak yorucu olabilir. Yarın gündüz 2 kısa blok planlayalım.
int_0033,par_0033,stu_0033,"Dersi yine böldü, çok kızgınım.",Bugün zor bir gün olabilir. Küçük bir adım yeterli: 15 dakika sadece ilk soru seti.
int_0034,par_0034,stu_0034,"Yine telefon, yine boş; böyle YKS kazanılmaz.",Bugün zor bir gün olabilir. Küçük bir adım yeterli: 15 dakika sadece ilk soru seti.
int_0035,par_0035,stu_0035,Saatlerdir masada ama hiçbir şey bitmemiş.,"Dikkatin dağıldığını gördük. Sorun değil, şimdi toparlanabilirsin. 20 dakikalık tek bir soru bloğu yap; bitince kısa mola senin."
int_0036,par_0036,stu_0036,"Herkes çalışıyor, o hâlâ erteiyor.","Yarım kalan bloğu birlikte kapatabiliriz. Zamanlayıcıyı 25 dakikaya kur, sadece bir konuya bak."
